age,female,sex,race,subgroup_id,riskfactor,N,Mean,se,LowerCLMean,UpperCLMean,sigma_u_wgt,var,riagendr,meandaych,dayse,effect1,effect2,effect3,effect1se,effect2se,effect3se,Mean_alt,Mean_alt2,Mean_alt3,Mean_alt_se1,Mean_alt_se2,Mean_alt_se3,overweight_rate,overweight_rate_se,hbp,hbp_se,highSBP_RATE,highSBP_RATE_se
5,0,2,1,33,GLwheat,422,24.294201,0.373414,3.94480,4.19684,6.5637116235,rfg,1,-4.519442718,0.2410083999,-1.581804951,-1.129860679,-2.259721359,0.0843529399,0.0602521,0.1205041999,23.961218823,24.056356481,23.818512334,0.3923763662,0.3923763662,0.3923763662,75.3283,2.1805,45.7200,2.2960,81.3185,1.8600
5,0,2,1,33,addsug,422,52.908786,1.454782,11.89969,13.29497,24.800374987,add,1,-1.920248095,0.1559372405,-0.672086833,-0.480062024,-0.960124048,0.0545780342,0.0389843101,0.0779686202,52.236699211,52.42872402,51.948661996,1.4568699269,1.4568699269,1.4568699269,75.3283,2.1805,45.7200,2.2960,81.3185,1.8600
5,0,2,1,33,rfg,422,115.407768,1.773875,3.94480,4.19684,31.180416961,rfg,1,-4.519442718,0.2410083999,-1.581804951,-1.129860679,-2.259721359,0.0843529399,0.0602521,0.1205041999,113.8259626,114.27790687,113.14804619,1.7779630077,1.7779630077,1.7779630077,75.3283,2.1805,45.7200,2.2960,81.3185,1.8600
5,0,2,1,33,sodium,422,2811.587399,23.706107,2763.84085,2859.33395,500.30306692,sod,1,-103.4824467,6.7033608833,-36.21885635,-25.87061168,-51.74122336,2.3461763091,1.6758402208,3.3516804416,2775.3685429,2785.7167876,2759.8461759,23.941872326,23.941872326,23.941872326,75.3283,2.1805,45.7200,2.2960,81.3185,1.8600
5,0,2,1,33,wg,422,28.214707,0.935235,0.92878,1.06167,13.92869777,wg,1,4.5194427178,0.2410083999,1.5818049512,1.1298606794,2.2597213589,0.0843529399,0.0602521,0.1205041999,29.796511531,29.34456726,30.474427939,0.9429663664,0.9429663664,0.9429663664,75.3283,2.1805,45.7200,2.2960,81.3185,1.8600
5,0,2,1,33,GLrice,422,4.545912,0.069873,3.94480,4.19684,1.2281966241,rfg,1,-4.519442718,0.2410083999,-1.581804951,-1.129860679,-2.259721359,0.0843529399,0.0602521,0.1205041999,4.4836046669,4.5014067518,4.4569015396,0.1392964011,0.1392964011,0.1392964011,75.3283,2.1805,45.7200,2.2960,81.3185,1.8600
5,0,2,2,34,GLwheat,191,22.502167,0.393335,3.63779,3.90329,5.6224006357,rfg,1,-8.466514039,0.421313497,-2.963279914,-2.11662851,-4.233257019,0.147459724,0.1053283743,0.2106567485,21.878374324,22.056600794,21.611034618,0.446193507,0.446193507,0.446193507,85.7096,2.4411,62.2624,3.1656,89.1624,2.5150
5,0,2,2,34,addsug,191,57.736124,1.845838,12.86153,14.63187,25.99770262,add,1,-3.221422542,0.2554139697,-1.12749789,-0.805355636,-1.610711271,0.0893948894,0.0638534924,0.1277069848,56.608625781,56.930768035,56.1254124,1.8502509456,1.8502509456,1.8502509456,85.7096,2.4411,62.2624,3.1656,89.1624,2.5150
5,0,2,2,34,rfg,191,106.894847,1.868508,3.63779,3.90329,26.708790118,rfg,1,-8.466514039,0.421313497,-2.963279914,-2.11662851,-4.233257019,0.147459724,0.1053283743,0.2106567485,103.93156692,104.77821833,102.66158982,1.8803452834,1.8803452834,1.8803452834,85.7096,2.4411,62.2624,3.1656,89.1624,2.5150
5,0,2,2,34,sodium,191,2510.995861,34.513919,2441.48126,2580.51046,443.49930515,sod,1,-209.2665821,11.047651898,-73.24330374,-52.31664553,-104.6332911,3.8666781644,2.7619129746,5.5238259492,2437.7525575,2458.6792157,2406.3625701,34.953157822,34.953157822,34.953157822,85.7096,2.4411,62.2624,3.1656,89.1624,2.5150
5,0,2,2,34,wg,191,22.745515,0.955535,0.73443,0.87020,13.505204799,wg,1,8.4665140386,0.421313497,2.9632799135,2.1166285097,4.2332570193,0.147459724,0.1053283743,0.2106567485,25.708795379,24.862143975,26.978772484,0.9784805675,0.9784805675,0.9784805675,85.7096,2.4411,62.2624,3.1656,89.1624,2.5150
5,0,2,2,34,GLrice,191,4.210588,0.073601,3.63779,3.90329,1.0520592427,rfg,1,-8.466514039,0.421313497,-2.963279914,-2.11662851,-4.233257019,0.147459724,0.1053283743,0.2106567485,4.0938644211,4.1272140199,4.0438400229,0.2231441321,0.2231441321,0.2231441321,85.7096,2.4411,62.2624,3.1656,89.1624,2.5150
